"1101";"11";"kabupaten simeulue";NULL;NULL;NULL
"1102";"11";"kabupaten aceh singkil";NULL;NULL;NULL
"1103";"11";"kabupaten aceh selatan";NULL;NULL;NULL
"1104";"11";"kabupaten aceh tenggara";NULL;NULL;NULL
"1105";"11";"kabupaten aceh timur";NULL;NULL;NULL
"1106";"11";"kabupaten aceh tengah";NULL;NULL;NULL
"1107";"11";"kabupaten aceh barat";NULL;NULL;NULL
"1108";"11";"kabupaten aceh besar";NULL;NULL;NULL
"1109";"11";"kabupaten pidie";NULL;NULL;NULL
"1110";"11";"kabupaten bireuen";NULL;NULL;NULL
"1111";"11";"kabupaten aceh utara";NULL;NULL;NULL
"1112";"11";"kabupaten aceh barat daya";NULL;NULL;NULL
"1113";"11";"kabupaten gayo lues";NULL;NULL;NULL
"1114";"11";"kabupaten aceh tamiang";NULL;NULL;NULL
"1115";"11";"kabupaten nagan raya";NULL;NULL;NULL
"1116";"11";"kabupaten aceh jaya";NULL;NULL;NULL
"1117";"11";"kabupaten bener meriah";NULL;NULL;NULL
"1118";"11";"kabupaten pidie jaya";NULL;NULL;NULL
"1171";"11";"kota banda aceh";NULL;NULL;NULL
"1172";"11";"kota sabang";NULL;NULL;NULL
"1173";"11";"kota langsa";NULL;NULL;NULL
"1174";"11";"kota lhokseumawe";NULL;NULL;NULL
"1175";"11";"kota subulussalam";NULL;NULL;NULL
"1201";"12";"kabupaten nias";NULL;NULL;NULL
"1202";"12";"kabupaten mandailing natal";NULL;NULL;NULL
"1203";"12";"kabupaten tapanuli selatan";NULL;NULL;NULL
"1204";"12";"kabupaten tapanuli tengah";NULL;NULL;NULL
"1205";"12";"kabupaten tapanuli utara";NULL;NULL;NULL
"1206";"12";"kabupaten toba samosir";NULL;NULL;NULL
"1207";"12";"kabupaten labuhan batu";NULL;NULL;NULL
"1208";"12";"kabupaten asahan";NULL;NULL;NULL
"1209";"12";"kabupaten simalungun";NULL;NULL;NULL
"1210";"12";"kabupaten dairi";NULL;NULL;NULL
"1211";"12";"kabupaten karo";NULL;NULL;NULL
"1212";"12";"kabupaten deli serdang";NULL;NULL;NULL
"1213";"12";"kabupaten langkat";NULL;NULL;NULL
"1214";"12";"kabupaten nias selatan";NULL;NULL;NULL
"1215";"12";"kabupaten humbang hasundutan";NULL;NULL;NULL
"1216";"12";"kabupaten pakpak bharat";NULL;NULL;NULL
"1217";"12";"kabupaten samosir";NULL;NULL;NULL
"1218";"12";"kabupaten serdang bedagai";NULL;NULL;NULL
"1219";"12";"kabupaten batu bara";NULL;NULL;NULL
"1220";"12";"kabupaten padang lawas utara";NULL;NULL;NULL
"1221";"12";"kabupaten padang lawas";NULL;NULL;NULL
"1222";"12";"kabupaten labuhan batu selatan";NULL;NULL;NULL
"1223";"12";"kabupaten labuhan batu utara";NULL;NULL;NULL
"1224";"12";"kabupaten nias utara";NULL;NULL;NULL
"1225";"12";"kabupaten nias barat";NULL;NULL;NULL
"1271";"12";"kota sibolga";NULL;NULL;NULL
"1272";"12";"kota tanjung balai";NULL;NULL;NULL
"1273";"12";"kota pematang siantar";NULL;NULL;NULL
"1274";"12";"kota tebing tinggi";NULL;NULL;NULL
"1275";"12";"kota medan";NULL;NULL;NULL
"1276";"12";"kota binjai";NULL;NULL;NULL
"1277";"12";"kota padangsidimpuan";NULL;NULL;NULL
"1278";"12";"kota gunungsitoli";NULL;NULL;NULL
"1301";"13";"kabupaten kepulauan mentawai";NULL;NULL;NULL
"1302";"13";"kabupaten pesisir selatan";NULL;NULL;NULL
"1303";"13";"kabupaten solok";NULL;NULL;NULL
"1304";"13";"kabupaten sijunjung";NULL;NULL;NULL
"1305";"13";"kabupaten tanah datar";NULL;NULL;NULL
"1306";"13";"kabupaten padang pariaman";NULL;NULL;NULL
"1307";"13";"kabupaten agam";NULL;NULL;NULL
"1308";"13";"kabupaten lima puluh kota";NULL;NULL;NULL
"1309";"13";"kabupaten pasaman";NULL;NULL;NULL
"1310";"13";"kabupaten solok selatan";NULL;NULL;NULL
"1311";"13";"kabupaten dharmasraya";NULL;NULL;NULL
"1312";"13";"kabupaten pasaman barat";NULL;NULL;NULL
"1371";"13";"kota padang";NULL;NULL;NULL
"1372";"13";"kota solok";NULL;NULL;NULL
"1373";"13";"kota sawah lunto";NULL;NULL;NULL
"1374";"13";"kota padang panjang";NULL;NULL;NULL
"1375";"13";"kota bukittinggi";NULL;NULL;NULL
"1376";"13";"kota payakumbuh";NULL;NULL;NULL
"1377";"13";"kota pariaman";NULL;NULL;NULL
"1401";"14";"kabupaten kuantan singingi";NULL;NULL;NULL
"1402";"14";"kabupaten indragiri hulu";NULL;NULL;NULL
"1403";"14";"kabupaten indragiri hilir";NULL;NULL;NULL
"1404";"14";"kabupaten pelalawan";NULL;NULL;NULL
"1405";"14";"kabupaten s i a k";NULL;NULL;NULL
"1406";"14";"kabupaten kampar";NULL;NULL;NULL
"1407";"14";"kabupaten rokan hulu";NULL;NULL;NULL
"1408";"14";"kabupaten bengkalis";NULL;NULL;NULL
"1409";"14";"kabupaten rokan hilir";NULL;NULL;NULL
"1410";"14";"kabupaten kepulauan meranti";NULL;NULL;NULL
"1471";"14";"kota pekanbaru";NULL;NULL;NULL
"1473";"14";"kota d u m a i";NULL;NULL;NULL
"1501";"15";"kabupaten kerinci";NULL;NULL;NULL
"1502";"15";"kabupaten merangin";NULL;NULL;NULL
"1503";"15";"kabupaten sarolangun";NULL;NULL;NULL
"1504";"15";"kabupaten batang hari";NULL;NULL;NULL
